task,phase,kv_type,layer,kv_head,bucket,metric,count,mean,min,max,std
dureader,prefill,v,0,6,bucketfirst,current_oracle_gap,34,2.145933060947915e-05,0.0,0.00012935191625729203,3.594313851988726e-05
dureader,prefill,v,0,6,bucketfirst,minmax_oracle_gap,34,7.385137210161809e-06,0.0,9.481387678533792e-05,2.1232610489360225e-05
dureader,prefill,v,0,6,bucketlast,current_oracle_gap,31,4.6432720527293224e-05,0.0,0.0004452170105651021,0.00011303453723082488
dureader,prefill,v,0,6,bucketlast,minmax_oracle_gap,31,8.172640997555948e-06,0.0,7.404130883514881e-05,1.9553510815255286e-05
dureader,prefill,v,0,6,bucketmiddle,current_oracle_gap,31,3.5321532190972636e-05,0.0,0.00017191050574183464,5.293064852491018e-05
dureader,prefill,v,0,6,bucketmiddle,minmax_oracle_gap,31,1.253375798583992e-05,0.0,0.000160271767526865,3.324678492186456e-05
dureader,prefill,v,0,7,bucketfirst,current_oracle_gap,33,2.1252612703282274e-05,0.0,0.00019573676399886608,4.552035239930474e-05
dureader,prefill,v,0,7,bucketfirst,minmax_oracle_gap,33,2.545235805552114e-07,0.0,8.399278158321977e-06,1.439802798259764e-06
dureader,prefill,v,0,7,bucketlast,current_oracle_gap,29,1.1077246042610757e-05,0.0,9.432890510652214e-05,2.2851443724003885e-05
dureader,prefill,v,0,7,bucketlast,minmax_oracle_gap,29,2.6976240092310412e-09,0.0,7.82310962677002e-08,1.427448451836469e-08
dureader,prefill,v,0,7,bucketmiddle,current_oracle_gap,34,3.086042210377534e-06,0.0,6.588309770449996e-05,1.2528990397405225e-05
dureader,prefill,v,0,7,bucketmiddle,minmax_oracle_gap,34,1.2685311102198766e-06,0.0,3.622805525083095e-05,6.141445051140843e-06
dureader,prefill,v,7,0,bucketfirst,current_oracle_gap,32,0.006402593964594416,0.0,0.03304186835885048,0.009165108369464355
dureader,prefill,v,7,0,bucketfirst,minmax_oracle_gap,32,0.004635668316041119,0.0,0.019319905433803797,0.0067669778180929575
dureader,prefill,v,7,0,bucketlast,current_oracle_gap,30,0.0008142841669420401,0.0,0.007715189829468727,0.0017998678981508802
