task,phase,kv_type,layer,kv_head,bucket,metric,count,mean,min,max,std
dureader,prefill,v,24,2,bucketfirst,relative_candidate_benefit,39,-20.371643248105826,-90.06840380143869,0.7933711550113237,31.61552740188945
dureader,prefill,v,24,2,bucketlast,relative_candidate_benefit,25,0.3875359291567311,0.05292194936733542,0.9060325346073773,0.23323935664186082
dureader,prefill,v,24,2,bucketmiddle,relative_candidate_benefit,32,0.42401662055052086,-0.0659295604175028,0.8213410189011837,0.25631169338773674
dureader,prefill,v,24,3,bucketfirst,relative_candidate_benefit,26,-6.667906125803102,-19.63743332376782,0.7585210303593776,8.003800051063223
dureader,prefill,v,24,3,bucketlast,relative_candidate_benefit,33,0.4921193379955997,0.1215154884782884,0.9292435820621315,0.19799015948023038
dureader,prefill,v,24,3,bucketmiddle,relative_candidate_benefit,37,0.45960697434665815,-0.06129221270755608,0.8469862622263538,0.2080994690130546
dureader,prefill,v,24,4,bucketfirst,relative_candidate_benefit,28,-19.86394954048081,-120.63466635565989,0.957357034693034,28.010755043578097
dureader,prefill,v,24,4,bucketlast,relative_candidate_benefit,39,0.09520394970780911,-0.19329562145311047,0.4446932254942449,0.169712392302224
dureader,prefill,v,24,4,bucketmiddle,relative_candidate_benefit,29,0.0660354599277025,-0.1364098384885089,0.3327177518996934,0.11993555035302882
dureader,prefill,v,24,5,bucketfirst,relative_candidate_benefit,38,-7.617808756864446,-29.397289652114438,0.5466543453931024,11.649235185839954
dureader,prefill,v,24,5,bucketlast,relative_candidate_benefit,27,0.1592855889764081,-0.15763181909412063,0.7121338753363594,0.2392227941769171
dureader,prefill,v,24,5,bucketmiddle,relative_candidate_benefit,31,0.12432579368358858,-0.1945905452574256,0.4525082297527461,0.17024683733942175
dureader,prefill,v,24,6,bucketfirst,relative_candidate_benefit,30,-16.613756257971296,-54.33135405822221,0.8076958517694647,22.397601145591672
dureader,prefill,v,24,6,bucketlast,relative_candidate_benefit,27,0.27816432990956974,-0.9638327251569577,0.8866341820649233,0.3727302409906729
dureader,prefill,v,24,6,bucketmiddle,relative_candidate_benefit,39,0.36887657054718076,-0.19555514513833913,0.9039848853859702,0.26788841067679575
dureader,prefill,v,24,7,bucketfirst,relative_candidate_benefit,31,-3.644669341824932,-18.745718115385323,0.8811759461071044,5.95248659296799
dureader,prefill,v,24,7,bucketlast,relative_candidate_benefit,35,0.7402560289394929,0.23404120266320902,0.9322544481666932,0.1386840782522591
dureader,prefill,v,24,7,bucketmiddle,relative_candidate_benefit,30,0.7368750331962722,0.33826652404315244,0.9136266312799287,0.1264010303149204
dureader,prefill,v,25,0,bucketfirst,relative_candidate_benefit,26,-9.817934892652408,-32.65243324683438,0.7777928501207928,11.696117970359627
dureader,prefill,v,25,0,bucketlast,relative_candidate_benefit,34,0.4420835975967781,-0.15424651976572334,0.7883267020680742,0.21515316980763083
